SubQuestion,QuestionTitle,AlternateText,,
Q17_8,Please indicate how much you disagree or agree with following broad statements about scientists: - Scientists should advocate for public policy positions related to their area of expertise,,,
Q18_1,"In 2021, how frequently did you use the following sources to learn about issues impacting your local - Close personal friends",,,
Q18_2,"In 2021, how frequently did you use the following sources to learn about issues impacting your local - Family members",,,
Q18_3,"In 2021, how frequently did you use the following sources to learn about issues impacting your local - Community/social groups",,,
Q18_4,"In 2021, how frequently did you use the following sources to learn about issues impacting your local - Scientists",,,
Q18_5,"In 2021, how frequently did you use the following sources to learn about issues impacting your local - Montana universities",,,
Q18_6,"In 2021, how frequently did you use the following sources to learn about issues impacting your local - Montana state agencies (e.g., Department of Natural Resources, Department of Environmental Quality, etc.)",,,
Q18_7,"In 2021, how frequently did you use the following sources to learn about issues impacting your local - Montana State University Extension",,,
Q18_8,"In 2021, how frequently did you use the following sources to learn about issues impacting your local - My local conservation district",,,
Q18_9,"In 2021, how frequently did you use the following sources to learn about issues impacting your local - My local watershed group",,,
Q18_10,"In 2021, how frequently did you use the following sources to learn about issues impacting your local - Scientific journals",,,
Q18_11,"In 2021, how frequently did you use the following sources to learn about issues impacting your local - News broadcasting (e.g., television, radio, etc.)",,,
Q18_12,"In 2021, how frequently did you use the following sources to learn about issues impacting your local - Print news media (e.g., newspapers, magazines, etc.)",,,
Q18_13,"In 2021, how frequently did you use the following sources to learn about issues impacting your local - Social media (e.g., Facebook, Instagram, Twitter, YouTube, etc.)",,,
Q19_1,Please indicate how much you trust the following sources to accurately communicate scientific information in general: - Close personal friends,,,
Q19_2,Please indicate how much you trust the following sources to accurately communicate scientific information in general: - Family members,,,
Q19_3,Please indicate how much you trust the following sources to accurately communicate scientific information in general: - Community/social groups,,,
Q19_4,Please indicate how much you trust the following sources to accurately communicate scientific information in general: - Scientists,,,
Q19_5,Please indicate how much you trust the following sources to accurately communicate scientific information in general: - Montana universities,,,
Q19_6,"Please indicate how much you trust the following sources to accurately communicate scientific information in general: - Montana state agencies (e.g., Department of Natural Resources, Department of Environmental Quality, etc.)",,,
Q19_7,Please indicate how much you trust the following sources to accurately communicate scientific information in general: - Montana State University Extension,,,
Q19_8,Please indicate how much you trust the following sources to accurately communicate scientific information in general: - My local conservation district,,,
Q19_9,Please indicate how much you trust the following sources to accurately communicate scientific information in general: - My local watershed group,,,
Q19_10,Please indicate how much you trust the following sources to accurately communicate scientific information in general: - Scientific journals,,,
Q19_11,"Please indicate how much you trust the following sources to accurately communicate scientific information in general: - News broadcasting (e.g., television, radio, etc.)",,,
Q19_12,"Please indicate how much you trust the following sources to accurately communicate scientific information in general: - Print news media (e.g., newspapers, magazines, etc.)",,,
Q19_13,"Please indicate how much you trust the following sources to accurately communicate scientific information in general: - Social media (e.g., Facebook, Instagram, Twitter, YouTube, etc.)",,,
Q1_1,Select that best apply - Satisfied with Training,,,
Q1_2,Select that best apply - Learned the skills,,,
Q1_3,Select that best apply - Training is helpful,,,
Q1_4,Select that best apply - Training is useful,,,
Q1_5,Select that best apply - Can use the training in research,,,
Q1_6,Select that best apply - Training was well guided,,,
Q1_7,Select that best apply - Feedback was encorporated,,,
Q1_8,Select that best apply - Training was hard,,,
Q1_9,Select that best apply - Supervisor answered the queries,,,
Q1_10,Select that best apply - I will recomend training to others,,,
